unique_key,Product,Category,Quantity,Sales
1,Apple,Food,30,150
2,Banana,Food,45,135
3,Carrot,Food,50,100
4,Desk,Furniture,5,500
5,Chair,Furniture,10,300
6,Lamp,Electronics,20,400
7,Monitor,Electronics,15,600
8,Keyboard,Electronics,30,300
9,Mouse,Electronics,50,250
10,Book,Stationery,40,200
11,Notebook,Stationery,30,90
12,Pen,Stationery,60,120
13,Chair,Stationery,100,100
14,Eraser,Stationery,150,75
15,Marker,Stationery,80,160
16,Detergent,Cleaning,40,160
17,Soap,Cleaning,30,90
18,Bleach,Cleaning,50,250
19,Sponge,Cleaning,70,140
20,Mop,Cleaning,25,125
